order_id,customer_id,order_date,product_id,unit_price,quantity,total_price
1,5,2022-07-13,24,139,10,1390
2,14,2021-04-06,2,273,4,1092
3,17,2022-07-29,20,253,9,2277
4,14,2022-08-27,8,334,1,334
5,25,2021-12-15,6,334,3,1002
6,7,2021-04-15,25,144,7,1008
7,4,2021-09-28,12,876,1,876
8,24,2021-05-08,15,994,7,6958
9,3,2022-01-06,18,641,4,2564
10,23,2021-08-22,3,841,5,4205
11,3,2022-01-25,8,334,8,2672
12,21,2022-01-15,12,413,4,1652
13,22,2021-06-25,9,596,4,2384
14,6,2021-10-04,15,997,9,8973
15,8,2021-02-27,22,284,1,284
16,11,2021-03-09,13,266,10,2660
17,23,2022-05-27,11,455,8,3640
18,5,2021-09-10,9,812,9,7308
19,18,2022-03-15,9,969,10,9690
20,13,2021-05-22,12,571,8,4568
21,3,2021-04-23,25,206,3,618
22,22,2021-03-07,14,444,7,3108
23,20,2021-09-15,15,616,1,616
24,22,2022-07-04,24,818,5,4090
25,25,2021-04-25,21,350,7,2450
26,6,2021-09-27,15,562,3,1686
27,17,2022-06-04,4,673,4,2692
28,5,2022-07-07,12,847,9,7623
29,1,2022-05-16,20,69,2,138
30,12,2021-03-01,10,296,10,2960
31,3,2021-03-12,3,828,9,7452
32,25,2022-05-02,5,612,3,1836
33,9,2021-08-05,17,602,4,2408
34,23,2022-01-18,10,498,9,4482
35,15,2021-08-19,4,115,6,690
36,1,2021-08-24,19,652,4,2608
37,1,2021-08-23,3,119,1,119
38,11,2021-09-01,3,335,8,2680
39,7,2022-08-08,18,640,8,5120
40,8,2021-07-14,16,146,2,292
41,22,2022-03-10,14,470,8,3760
42,24,2021-03-04,2,462,6,2772
43,4,2021-07-14,8,599,8,4792
44,5,2021-10-13,14,523,4,2092
45,3,2021-04-11,15,101,9,909
46,1,2021-06-20,3,466,8,3728
47,16,2021-03-02,7,218,7,1526
48,1,2022-04-11,13,342,7,2394
49,23,2022-05-14,24,208,4,832
50,10,2022-08-17,7,803,9,7227
51,2,2021-02-28,24,101,10,1010
52,16,2021-06-11,17,108,9,972
53,3,2022-09-02,6,119,4,476
54,13,2021-09-10,4,642,10,6420
55,2,2022-03-06,20,723,10,7230
56,19,2021-09-25,17,259,6,1554
57,8,2021-05-15,9,737,5,3685
58,15,2021-01-10,11,519,10,5190
59,19,2022-07-05,4,268,9,2412
60,9,2021-03-12,5,950,4,3800
61,12,2022-03-25,10,903,9,8127
62,23,2021-01-09,10,733,9,6597
63,10,2021-05-18,22,320,2,640
64,4,2021-06-09,24,328,5,1640
65,20,2021-07-28,7,753,5,3765
66,17,2021-02-22,16,144,7,1008
67,9,2021-12-08,2,839,3,2517
68,21,2022-03-29,9,614,7,4298
69,18,2021-03-19,1,954,3,2862
70,18,2022-08-20,2,615,3,1845
71,14,2021-11-12,5,423,1,423
72,12,2021-04-16,7,412,9,3708
73,14,2021-08-31,20,935,3,2805
74,6,2021-07-03,14,804,6,4824
75,14,2021-10-01,22,213,2,426
76,13,2021-08-16,2,254,8,2032
77,12,2021-08-17,10,74,4,296
78,13,2021-03-13,11,841,5,4205
79,12,2022-02-14,21,745,9,6705
80,11,2021-09-25,1,232,10,2320
81,9,2022-09-03,2,494,6,2964
82,24,2022-06-08,11,168,7,1176
83,19,2021-02-15,7,775,7,5425
84,1,2021-07-21,17,422,7,2954
85,3,2021-11-18,22,729,2,1458
86,24,2021-11-13,10,732,7,5124
87,11,2022-07-22,13,180,4,720
88,14,2021-06-28,22,680,10,6800
89,10,2021-01-01,13,361,5,1805
90,7,2021-11-26,14,526,8,4208
91,15,2022-06-08,22,534,3,1602
92,22,2022-06-12,3,729,10,7290
93,11,2021-11-14,3,280,4,1120
94,5,2021-09-08,1,536,10,5360
95,25,2022-03-01,3,957,10,9570
96,7,2022-05-22,23,459,4,1836
97,5,2021-04-20,21,847,7,5929
98,8,2022-04-21,6,101,9,909
99,8,2021-05-17,4,870,8,6960
100,22,2022-09-02,17,374,8,2992
101,20,2022-03-13,24,900,9,8100
102,15,2022-04-06,6,315,4,1260
103,21,2022-05-12,9,691,4,2764
104,9,2021-10-20,15,290,5,1450
105,11,2021-03-24,11,191,3,573
106,8,2021-08-08,13,115,7,805
107,14,2022-04-23,11,475,1,475
108,7,2022-08-22,14,762,1,762
109,25,2022-05-04,19,56,6,336
110,10,2022-03-06,25,601,9,5409
111,20,2021-08-13,8,329,7,2303
112,16,2021-12-11,1,734,7,5138
113,24,2021-05-11,6,687,9,6183
114,1,2022-08-01,13,728,1,728
115,3,2021-05-19,21,937,8,7496
116,6,2022-01-24,2,385,4,1540
117,15,2022-01-24,11,334,7,2338
118,9,2021-01-20,3,817,9,7353
119,2,2021-03-12,12,849,1,849
120,25,2021-07-24,1,909,1,909
121,20,2021-05-10,5,534,2,1068
122,19,2021-09-20,7,835,6,5010
123,6,2021-06-17,20,368,2,736
124,19,2022-08-13,1,743,7,5201
125,13,2021-03-19,23,656,4,2624
126,4,2021-05-04,23,865,10,8650
127,2,2022-03-15,12,727,6,4362
128,3,2021-01-13,17,919,7,6433
129,16,2022-01-06,4,700,8,5600
130,23,2021-06-30,5,801,9,7209
131,21,2022-05-11,9,526,7,3682
132,24,2021-11-27,19,922,4,3688
133,3,2021-09-07,9,818,8,6544
134,19,2021-12-11,20,79,8,632
135,11,2021-08-06,6,413,5,2065
136,11,2021-10-10,9,619,1,619
137,17,2021-09-05,7,787,7,5509
138,16,2022-05-03,18,711,8,5688
139,15,2021-10-29,1,276,7,1932
140,23,2022-08-19,8,427,8,3416
141,18,2022-03-12,17,813,9,7317
142,11,2021-10-05,12,363,5,1815
143,8,2021-11-20,4,172,9,1548
144,25,2021-07-16,23,271,8,2168
145,9,2022-06-22,24,661,5,3305
146,4,2021-08-21,7,419,3,1257
147,10,2021-05-10,1,330,1,330
148,2,2021-05-10,18,703,8,5624
149,4,2021-10-19,1,530,8,4240
150,15,2021-02-22,11,308,8,2464
151,4,2022-05-19,3,125,10,1250
152,21,2021-06-05,22,202,10,2020
153,10,2021-05-02,3,621,7,4347
154,20,2022-06-20,20,439,8,3512
155,15,2022-03-16,10,362,10,3620
156,20,2021-08-01,2,690,4,2760
157,9,2021-06-10,22,295,3,885
158,18,2021-01-03,3,468,8,3744
159,23,2021-10-26,20,83,4,332
160,10,2022-04-10,23,122,4,488
161,9,2021-07-22,21,485,2,970
162,18,2021-09-30,8,896,3,2688
163,3,2021-11-11,2,659,10,6590
164,10,2022-04-25,15,755,5,3775
165,23,2022-05-28,13,602,8,4816
166,15,2021-02-10,3,960,7,6720
167,24,2021-01-27,11,143,4,572
168,22,2021-01-22,19,833,5,4165
169,19,2022-04-27,2,581,8,4648
170,9,2022-03-23,6,700,8,5600
171,3,2022-02-23,16,391,6,2346
172,22,2021-12-04,4,471,8,3768
173,10,2022-07-18,22,87,8,696
174,3,2021-11-28,11,168,7,1176
175,17,2022-04-19,1,473,1,473
176,7,2022-05-26,17,690,8,5520
177,25,2021-10-01,2,612,3,1836
178,10,2021-05-05,15,79,10,790
179,8,2021-11-15,23,614,1,614
180,18,2021-08-19,14,911,2,1822
181,15,2022-05-26,4,783,5,3915
182,17,2022-03-02,23,904,8,7232
183,16,2022-07-19,8,198,7,1386
184,7,2021-05-20,20,934,2,1868
185,9,2021-12-15,25,856,9,7704
186,9,2021-11-02,1,907,10,9070
187,19,2021-06-02,22,507,9,4563
188,16,2022-07-20,12,831,9,7479
189,13,2021-07-13,15,764,4,3056
190,19,2022-02-25,13,94,6,564
191,24,2022-01-31,16,729,3,2187
192,16,2022-05-30,2,654,6,3924
193,4,2022-06-23,15,982,8,7856
194,1,2022-02-24,24,941,3,2823
195,3,2021-12-13,16,688,7,4816
196,21,2022-07-01,3,439,6,2634
197,21,2022-07-09,23,86,10,860
198,3,2021-08-21,8,814,2,1628
199,14,2022-03-31,4,220,5,1100
200,1,2021-02-27,2,350,6,2100
201,12,2021-09-08,14,593,7,4151
202,19,2021-06-24,22,229,2,458
203,20,2022-05-25,13,984,10,9840
204,5,2021-09-18,8,520,5,2600
205,22,2021-10-22,1,743,9,6687
206,6,2021-12-20,3,651,5,3255
207,21,2022-04-13,14,915,5,4575
208,7,2021-04-20,13,292,7,2044
209,19,2021-10-30,12,766,5,3830
210,1,2021-10-09,22,58,10,580
211,22,2022-05-24,25,902,5,4510
212,25,2021-08-13,8,701,4,2804
213,20,2021-04-10,9,975,1,975
214,10,2022-08-17,15,423,3,1269
215,3,2022-03-02,10,229,4,916
216,5,2022-06-28,18,563,5,2815
217,6,2021-10-30,9,814,6,4884
218,4,2021-05-25,15,822,4,3288
219,22,2022-07-25,24,424,2,848
220,13,2022-07-04,1,176,8,1408
221,12,2022-08-22,22,440,6,2640
222,4,2022-04-28,22,75,10,750
223,18,2021-03-06,11,700,8,5600
224,23,2021-04-30,10,193,1,193
225,2,2021-04-29,10,149,4,596
226,18,2022-04-10,5,429,9,3861
227,14,2022-03-01,19,720,2,1440
228,16,2021-10-14,20,83,6,498
229,7,2021-08-30,15,925,6,5550
230,4,2022-07-12,22,973,6,5838
231,2,2021-07-14,13,175,8,1400
232,3,2022-09-04,22,71,1,71
233,11,2022-08-02,8,260,2,520
234,25,2022-08-24,18,271,4,1084
235,11,2022-09-03,25,52,5,260
236,5,2021-09-14,5,867,3,2601
237,4,2021-05-15,22,65,6,390
238,8,2021-01-17,19,228,5,1140
239,2,2022-06-23,5,166,2,332
240,16,2022-06-10,15,657,2,1314
241,15,2021-02-14,17,794,9,7146
242,10,2021-03-04,15,540,7,3780
243,14,2022-05-18,22,779,8,6232
244,3,2021-06-01,3,117,3,351
245,9,2022-07-16,20,779,6,4674
246,13,2021-10-29,20,514,9,4626
247,20,2021-04-28,14,923,9,8307
248,24,2022-04-08,7,959,4,3836
249,14,2022-02-13,11,475,2,950
250,11,2021-09-19,14,433,3,1299
251,22,2021-04-04,16,901,2,1802
252,3,2022-01-17,14,881,3,2643
253,18,2022-07-30,2,625,6,3750
254,22,2021-12-29,4,944,7,6608
255,24,2021-11-16,2,410,2,820
256,19,2021-06-08,17,722,8,5776
257,8,2022-07-24,4,426,2,852
258,25,2021-08-20,9,876,7,6132
259,18,2021-01-27,25,673,5,3365
260,1,2021-11-13,6,993,6,5958
261,12,2021-05-27,1,629,7,4403
262,3,2021-04-04,5,814,9,7326
263,7,2022-04-10,13,399,3,1197
264,12,2022-08-05,10,660,2,1320
265,2,2021-02-20,5,740,2,1480
266,9,2022-05-13,15,671,8,5368
267,14,2022-06-09,9,166,6,996
268,14,2022-08-31,4,548,9,4932
269,22,2021-08-14,10,454,10,4540
270,2,2021-11-05,1,266,3,798
271,25,2021-12-02,9,172,1,172
272,16,2021-06-29,24,182,7,1274
273,18,2022-05-28,23,622,6,3732
274,3,2022-03-23,13,69,8,552
275,3,2022-03-16,11,637,7,4459
276,23,2021-10-24,21,167,7,1169
277,1,2022-04-17,11,901,6,5406
278,3,2021-09-07,14,496,10,4960
279,13,2022-02-10,17,941,5,4705
280,24,2021-12-08,11,847,3,2541
281,3,2022-06-28,17,572,4,2288
282,25,2021-06-01,12,291,2,582
283,5,2021-06-27,9,666,3,1998
284,25,2021-07-01,25,841,8,6728
285,15,2022-08-17,25,509,10,5090
286,21,2021-11-20,21,204,8,1632
287,3,2021-11-07,16,865,5,4325
288,19,2022-06-04,2,125,5,625
289,15,2021-02-28,15,427,5,2135
290,3,2022-09-01,21,569,7,3983
291,15,2021-02-12,19,510,10,5100
292,21,2022-05-03,7,563,3,1689
293,2,2021-12-18,15,781,2,1562
294,17,2021-02-10,21,303,8,2424
295,15,2021-06-12,17,422,6,2532
296,10,2021-12-13,13,745,10,7450
297,2,2021-03-09,21,387,2,774
298,18,2021-10-18,22,308,10,3080
299,5,2022-08-20,11,729,3,2187
300,12,2021-05-13,10,659,2,1318
301,10,2021-12-03,18,882,3,2646
302,22,2021-04-06,23,711,7,4977
303,17,2022-01-07,12,366,3,1098
304,7,2021-07-16,11,281,3,843
305,5,2021-04-14,3,569,9,5121
306,24,2021-12-11,17,947,10,9470
307,5,2021-06-07,20,216,3,648
308,23,2022-03-25,25,94,7,658
309,12,2022-03-31,22,675,5,3375
310,25,2021-08-28,24,596,4,2384
311,10,2022-01-12,16,744,10,7440
312,15,2022-01-27,15,564,9,5076
313,14,2021-05-22,6,943,5,4715
314,2,2022-01-16,21,617,2,1234
315,23,2021-10-19,17,135,3,405
316,9,2021-05-31,15,900,7,6300
317,3,2021-12-24,8,77,7,539
318,2,2022-01-18,13,291,7,2037
319,3,2021-01-29,12,376,2,752
320,23,2021-05-30,21,190,1,190
321,10,2022-04-26,16,509,10,5090
322,1,2021-09-20,3,270,3,810
323,18,2022-03-10,24,163,5,815
324,8,2021-02-18,10,294,7,2058
325,21,2021-03-06,20,163,8,1304
326,20,2022-06-12,18,638,4,2552
327,23,2022-03-16,5,51,10,510
328,12,2022-03-03,8,241,2,482
329,17,2022-06-23,12,607,9,5463
330,17,2022-02-04,18,944,8,7552
331,2,2022-01-18,21,309,1,309
332,12,2021-09-04,3,800,2,1600
333,25,2021-05-17,19,95,6,570
334,18,2022-04-21,11,762,8,6096
335,21,2021-03-06,6,783,8,6264
336,2,2021-02-14,10,860,4,3440
337,2,2022-06-12,11,457,9,4113
338,16,2021-07-15,9,342,6,2052
339,25,2021-10-07,2,177,6,1062
340,14,2022-01-31,13,397,3,1191
341,16,2022-01-12,23,996,9,8964
342,9,2021-03-22,3,490,10,4900
343,6,2021-11-25,18,155,2,310
344,11,2021-11-10,22,506,10,5060
345,23,2022-03-31,14,409,8,3272
346,2,2022-03-22,24,331,1,331
347,3,2022-01-08,22,575,3,1725
348,1,2021-02-05,5,179,2,358
349,8,2022-01-06,25,442,10,4420
350,2,2022-04-06,20,429,6,2574
351,15,2022-08-11,25,190,9,1710
352,12,2021-10-13,13,305,2,610
353,1,2022-05-27,24,580,7,4060
354,18,2021-09-24,4,770,8,6160
355,7,2022-05-18,20,254,2,508
356,5,2021-06-26,3,970,8,7760
357,3,2021-12-22,22,776,2,1552
358,18,2021-11-04,18,921,3,2763
359,23,2022-01-06,23,570,4,2280
360,4,2021-08-31,7,859,8,6872
361,1,2022-08-10,12,427,8,3416
362,18,2021-03-09,5,366,7,2562
363,23,2022-06-23,24,470,7,3290
364,19,2021-11-21,3,707,2,1414
365,15,2021-12-19,15,181,9,1629
366,21,2021-05-13,19,493,9,4437
367,2,2021-06-06,4,361,3,1083
368,6,2021-12-21,11,581,5,2905
369,3,2022-07-19,9,331,3,993
370,21,2021-04-06,10,564,3,1692
371,19,2021-06-25,19,724,10,7240
372,24,2022-08-01,20,92,1,92
373,3,2021-09-29,2,716,4,2864
374,25,2021-02-01,19,559,9,5031
375,10,2022-05-10,21,300,7,2100
376,10,2021-03-03,15,211,8,1688
377,14,2021-07-28,16,398,10,3980
378,5,2021-12-20,11,458,3,1374
379,25,2022-07-30,12,158,6,948
380,8,2021-10-01,15,510,4,2040
381,5,2021-10-25,4,443,10,4430
382,14,2021-12-02,8,641,6,3846
383,7,2022-05-26,25,577,8,4616
384,16,2021-01-24,10,142,7,994
385,17,2021-08-09,15,647,6,3882
386,2,2022-05-22,2,661,8,5288
387,10,2021-04-21,18,491,3,1473
388,9,2022-02-17,24,424,1,424
389,13,2022-07-30,2,249,6,1494
390,18,2022-01-31,10,566,8,4528
391,25,2021-05-02,18,181,2,362
392,13,2022-07-26,12,424,3,1272
393,7,2022-02-16,20,562,1,562
394,2,2021-12-08,2,873,8,6984
395,17,2022-06-12,15,193,6,1158
396,20,2022-02-07,11,681,5,3405
397,19,2022-06-06,11,595,8,4760
398,23,2022-05-02,19,885,1,885
399,12,2022-03-03,11,647,5,3235
400,24,2022-09-04,23,535,5,2675
401,21,2022-08-15,25,283,1,283
402,19,2022-06-21,16,694,10,6940
403,25,2021-09-06,13,82,10,820
404,23,2021-01-20,4,501,6,3006
405,14,2021-07-28,5,470,9,4230
406,25,2021-03-05,20,772,3,2316
407,17,2021-11-29,7,728,8,5824
408,17,2021-06-27,13,520,9,4680
409,11,2021-09-28,18,674,8,5392
410,7,2022-07-26,8,355,4,1420
411,10,2021-08-01,25,756,8,6048
412,11,2022-07-28,16,864,5,4320
413,10,2022-07-11,4,438,7,3066
414,12,2021-10-25,25,93,5,465
415,23,2022-03-29,3,721,5,3605
416,24,2021-07-26,16,897,9,8073
417,9,2021-05-21,18,161,10,1610
418,24,2021-09-06,19,101,9,909
419,8,2021-02-23,21,152,7,1064
420,11,2021-04-13,23,747,3,2241
421,1,2022-02-21,18,718,8,5744
422,16,2021-10-22,21,378,5,1890
423,21,2022-08-11,2,287,9,2583
424,24,2021-06-29,24,477,3,1431
425,2,2021-07-10,13,816,5,4080
426,2,2022-08-05,1,667,2,1334
427,11,2022-07-11,10,586,8,4688
428,5,2021-10-07,17,247,2,494
429,11,2021-09-21,6,785,3,2355
430,1,2021-10-30,24,631,4,2524
431,6,2022-03-14,20,577,6,3462
432,3,2021-07-09,13,193,8,1544
433,11,2021-09-25,8,442,4,1768
434,15,2021-12-04,25,359,10,3590
435,24,2021-09-25,19,719,6,4314
436,23,2021-05-02,8,526,5,2630
437,6,2021-11-15,13,756,2,1512
438,21,2021-08-15,10,274,3,822
439,16,2022-01-18,5,475,9,4275
440,16,2021-08-12,25,830,4,3320
441,22,2021-03-25,25,588,8,4704
442,17,2021-03-21,23,989,10,9890
443,4,2022-06-02,2,257,10,2570
444,18,2021-12-02,5,924,9,8316
445,15,2022-08-21,4,550,2,1100
446,17,2022-04-10,15,185,9,1665
447,14,2021-03-01,15,622,8,4976
448,22,2022-02-10,10,310,1,310
449,24,2021-03-16,7,96,7,672
450,12,2022-07-09,23,111,2,222
451,16,2022-02-23,2,234,3,702
452,25,2022-01-19,21,962,7,6734
453,15,2021-03-24,13,749,9,6741
454,5,2021-05-02,21,232,9,2088
455,13,2021-08-17,17,904,1,904
456,25,2022-04-20,1,739,9,6651
457,14,2021-08-24,18,303,8,2424
458,12,2021-07-13,5,946,2,1892
459,2,2021-01-17,22,296,4,1184
460,3,2021-02-04,4,507,10,5070
461,22,2021-09-08,23,808,1,808
462,13,2022-07-07,15,272,1,272
463,5,2021-08-28,17,885,10,8850
464,11,2021-11-25,19,292,5,1460
465,5,2021-08-15,22,473,5,2365
466,9,2022-08-29,2,950,3,2850
467,21,2022-07-24,22,557,1,557
468,12,2022-06-22,21,376,7,2632
469,14,2022-01-21,5,238,9,2142
470,16,2021-11-04,8,928,3,2784
471,15,2022-02-27,2,476,9,4284
472,17,2021-09-06,5,311,4,1244
473,11,2022-04-06,21,917,6,5502
474,3,2021-02-22,18,324,7,2268
475,22,2021-03-16,20,242,10,2420
476,24,2021-08-11,22,540,4,2160
477,11,2021-08-05,10,244,2,488
478,24,2021-09-06,25,762,10,7620
479,23,2021-09-03,7,615,6,3690
480,25,2022-04-23,10,596,6,3576
481,10,2022-06-10,9,953,8,7624
482,15,2021-11-24,4,986,4,3944
483,12,2021-02-16,11,626,4,2504
484,24,2021-09-25,5,616,10,6160
485,19,2021-10-30,24,206,4,824
486,11,2022-08-07,8,903,4,3612
487,16,2021-09-21,18,831,8,6648
488,24,2022-04-17,21,222,6,1332
489,6,2022-05-16,5,238,9,2142
490,21,2021-02-04,2,909,2,1818
491,22,2022-02-27,2,190,4,760
492,3,2021-01-10,23,273,9,2457
493,15,2022-05-10,12,725,8,5800
494,1,2022-07-19,1,471,1,471
495,1,2022-07-03,17,343,1,343
496,17,2021-07-03,23,159,2,318
497,17,2021-07-16,5,684,9,6156
498,9,2022-02-11,12,130,6,780
499,13,2021-09-07,15,763,4,3052
500,10,2021-02-02,22,145,7,1015
501,13,2022-05-03,13,107,1,107
502,23,2022-05-27,6,915,7,6405
503,21,2021-04-08,11,966,9,8694
504,2,2022-08-04,8,536,5,2680
505,2,2022-07-11,3,627,1,627
506,6,2021-08-01,11,651,3,1953
507,25,2021-03-20,23,356,3,1068
508,19,2022-02-03,8,743,9,6687
509,11,2021-03-22,13,562,6,3372
510,2,2021-08-26,4,908,2,1816
511,11,2022-02-11,20,842,6,5052
512,1,2022-04-07,21,552,4,2208
513,12,2022-03-19,18,240,10,2400
514,22,2021-10-30,13,867,4,3468
515,23,2021-10-02,3,207,7,1449
516,23,2022-02-03,21,374,6,2244
517,4,2021-11-12,3,505,6,3030
518,25,2021-05-16,9,139,3,417
519,14,2022-07-23,15,574,7,4018
520,4,2021-12-29,1,617,2,1234
521,20,2022-01-30,20,62,5,310
522,14,2022-07-27,13,976,4,3904
523,19,2022-01-25,17,223,3,669
524,9,2022-05-20,10,199,2,398
525,6,2022-03-08,14,356,8,2848
526,3,2021-09-10,12,788,8,6304
527,20,2022-04-14,20,159,3,477
528,10,2021-12-07,1,911,10,9110
529,13,2021-12-09,11,490,10,4900
530,5,2021-07-25,10,540,6,3240
531,6,2021-10-26,13,802,8,6416
532,19,2022-01-21,8,337,7,2359
533,12,2021-07-24,4,656,9,5904
534,6,2021-01-28,22,794,8,6352
535,23,2021-10-26,7,901,2,1802
536,14,2021-05-23,22,698,5,3490
537,8,2022-03-10,9,858,7,6006
538,3,2022-05-06,15,646,7,4522
539,18,2022-07-11,17,87,6,522
540,23,2021-03-29,18,161,4,644
541,22,2021-06-20,22,712,10,7120
542,2,2021-12-06,19,865,7,6055
543,4,2021-09-22,1,277,9,2493
544,24,2022-08-18,17,754,10,7540
545,8,2022-02-05,15,524,10,5240
546,23,2021-12-20,17,75,8,600
547,4,2021-03-29,10,168,3,504
548,12,2022-04-12,10,853,4,3412
549,17,2022-05-03,16,149,8,1192
550,24,2021-11-23,23,118,5,590
551,2,2021-01-24,23,919,6,5514
552,21,2021-09-07,4,578,3,1734
553,18,2022-07-28,6,486,8,3888
554,8,2021-07-10,13,705,7,4935
555,13,2022-04-06,1,656,7,4592
556,13,2021-07-30,1,335,2,670
557,19,2021-07-11,4,424,6,2544
558,7,2021-09-26,15,736,8,5888
559,17,2022-09-04,21,447,10,4470
560,13,2021-12-23,19,410,8,3280
561,20,2022-08-28,6,136,3,408
562,11,2021-11-09,4,169,3,507
563,12,2022-06-08,23,447,7,3129
